Timestamp,Analog1_chA,Analog1_chB,other
2192,1801.000,1253.000,
2196,1811.000,1267.000,
2200,1814.000,1273.000,
2204,1819.000,1275.000,
2208,1815.000,1280.000,
2212,1836.000,1281.000,
2216,1831.000,1289.000,
2220,1823.000,1283.000,
2224,1824.000,1273.000,
2228,1821.000,1284.000,
2232,1826.000,1290.000,
2236,1810.000,1281.000,
2240,1805.000,1264.000,
2244,1808.000,1274.000,
2248,1807.000,1286.000,
2252,1801.000,1272.000,
2256,1788.000,1253.000,
2260,1783.000,1264.000,
2264,1788.000,1267.000,
2268,1775.000,1265.000,
2272,1759.000,1250.000,
2276,1751.000,1242.000,
2280,1755.000,1251.000,
2284,1747.000,1243.000,
2288,1736.000,1227.000,
2292,1725.000,1219.000,
2296,1700.000,1227.000,
2300,1730.000,1224.000,
2304,1707.000,1210.000,
2308,1705.000,1195.000,
2312,1700.000,1211.000,
2316,1698.000,1216.000,
2320,1679.000,1194.000,
2324,1679.000,1190.000,
2328,1669.000,1194.000,
2332,1668.000,1195.000,
2336,1659.000,1180.000,
2340,1656.000,1170.000,
2344,1659.000,1184.000,
2348,1658.000,1184.000,
2352,1664.000,1179.000,
2356,1649.000,1176.000,
2360,1672.000,1180.000,
2364,1664.000,1188.000,
2368,1661.000,1173.000,
2372,1658.000,1167.000,
2376,1676.000,1178.000,
2380,1671.000,1192.000,
2384,1666.000,1180.000,
2388,1662.000,1170.000,
2392,1671.000,1182.000,
2396,1676.000,1194.000,
2400,1676.000,1183.000,
2404,1738.000,1223.000,
2408,1736.000,1217.000,
2412,1740.000,1224.000,
2416,1749.000,1232.000,
2420,1742.000,1226.000,
2424,1739.000,1211.000,
2428,1752.000,1223.000,
2432,1749.000,1235.000,
2436,1743.000,1231.000,
2440,1735.000,1217.000,
2444,1746.000,1228.000,
2448,1749.000,1233.000,
2452,1748.000,1239.000,
2456,1739.000,1218.000,
2460,1741.000,1218.000,
2464,1747.000,1232.000,
2468,1747.000,1239.000,
2472,1741.000,1228.000,
2476,1735.000,1220.000,
2480,1743.000,1231.000,
2484,1739.000,1231.000,
2488,1724.000,1222.000,
2492,1716.000,1215.000,
2496,1729.000,1226.000,
2500,1711.000,1227.000,
2504,1707.000,1211.000,
2508,1696.000,1210.000,
2512,1708.000,1207.000,
2516,1710.000,1222.000,
2520,1707.000,1200.000,
2524,1701.000,1190.000,
2528,1695.000,1203.000,
2532,1693.000,1203.000,
2536,1696.000,1204.000,
2540,1693.000,1196.000,
2544,1708.000,1204.000,
2548,1719.000,1212.000,
2552,1729.000,1216.000,
2556,1742.000,1216.000,
2560,1767.000,1225.000,
2564,1801.000,1247.000,
2568,1821.000,1269.000,
2572,1842.000,1272.000,
2576,1897.000,1293.000,
2580,1956.000,1323.000,
2584,1993.000,1351.000,
2588,2034.000,1370.000,
2592,2079.000,1397.000,
2596,2144.000,1437.000,
2600,2189.000,1470.000,
2604,2234.000,1492.000,
2608,2287.000,1520.000,
2612,2341.000,1563.000,
2616,2397.000,1603.000,
2620,2432.000,1618.000,
2624,2467.000,1643.000,
2628,2506.000,1677.000,
2632,2541.000,1703.000,
2636,2574.000,1722.000,
2640,2583.000,1730.000,
2644,2261.000,1608.000,
2648,2237.000,1594.000,
2652,2198.000,1583.000,
2656,2182.000,1547.000,
2660,2145.000,1526.000,
2664,2123.000,1525.000,
2668,2103.000,1514.000,
2672,2079.000,1488.000,
2676,2050.000,1466.000,
2680,2039.000,1460.000,
2684,2019.000,1453.000,
2688,1994.000,1423.000,
2692,1966.000,1403.000,
2696,1960.000,1395.000,
2700,1946.000,1391.000,
2704,1917.000,1376.000,
2708,1904.000,1354.000,
2712,1891.000,1342.000,
2716,1877.000,1339.000,
2720,1861.000,1326.000,
2724,1835.000,1303.000,
2728,1822.000,1297.000,
2732,1812.000,1300.000,
2736,1798.000,1289.000,
2740,1777.000,1263.000,
2744,1763.000,1255.000,
2748,1753.000,1263.000,
2752,1748.000,1258.000,
2756,1736.000,1236.000,
2760,1731.000,1232.000,
2764,1734.000,1241.000,
2768,1734.000,1238.000,
2772,1736.000,1228.000,
2776,1725.000,1215.000,
2780,1729.000,1226.000,
2784,1739.000,1238.000,
2788,1735.000,1223.000,
2792,1744.000,1232.000,
2796,1750.000,1236.000,
2800,1758.000,1247.000,
2804,1809.000,1287.000,
2808,1800.000,1263.000,
2812,1792.000,1267.000,
2816,1796.000,1272.000,
2820,1790.000,1276.000,
2824,1774.000,1259.000,
2828,1772.000,1244.000,
2832,1765.000,1257.000,
2836,1757.000,1254.000,
2840,1748.000,1244.000,
2844,1736.000,1232.000,
2848,1748.000,1239.000,
2852,1727.000,1243.000,
2856,1715.000,1223.000,
2860,1710.000,1212.000,
2864,1711.000,1220.000,
2868,1706.000,1224.000,
2872,1697.000,1205.000,
2876,1692.000,1197.000,
2880,1683.000,1191.000,
2884,1683.000,1208.000,
2888,1684.000,1194.000,
2892,1672.000,1183.000,
2896,1680.000,1184.000,
2900,1675.000,1197.000,
2904,1674.000,1195.000,
2908,1666.000,1177.000,
2912,1656.000,1176.000,
2916,1661.000,1180.000,
2920,1664.000,1185.000,
2924,1649.000,1169.000,
2928,1650.000,1166.000,
2932,1651.000,1183.000,
2936,1657.000,1176.000,
2940,1647.000,1172.000,
2944,1647.000,1162.000,
2948,1659.000,1176.000,
2952,1669.000,1188.000,
2956,1667.000,1165.000,
2960,1659.000,1174.000,
2964,1673.000,1194.000,
2968,1678.000,1192.000,
2972,1673.000,1180.000,
2976,1674.000,1175.000,
2980,1684.000,1185.000,
2984,1694.000,1200.000,
2988,1696.000,1189.000,
2992,1689.000,1184.000,
2996,1700.000,1201.000,
3000,1712.000,1206.000,
3004,1710.000,1201.000,
3008,1703.000,1195.000,
3012,1707.000,1198.000,
3016,1710.000,1212.000,
3020,1710.000,1211.000,
3024,1711.000,1202.000,
3028,1713.000,1200.000,
3032,1715.000,1212.000,
3036,1713.000,1217.000,
3040,1741.000,1202.000,
3044,1702.000,1197.000,
3048,1703.000,1202.000,
3052,1712.000,1211.000,
3056,1706.000,1204.000,
3060,1696.000,1198.000,
3064,1699.000,1194.000,
3068,1706.000,1206.000,
3072,1691.000,1210.000,
3076,1690.000,1192.000,
3080,1683.000,1188.000,
3084,1689.000,1199.000,
3088,1688.000,1201.000,
3092,1679.000,1186.000,
3096,1675.000,1181.000,
3100,1674.000,1195.000,
3104,1672.000,1191.000,
3108,1660.000,1184.000,
3112,1658.000,1172.000,
3116,1659.000,1179.000,
3120,1659.000,1183.000,
3124,1655.000,1174.000,
3128,1649.000,1166.000,
3132,1664.000,1171.000,
3136,1668.000,1182.000,
3140,1668.000,1177.000,
3144,1667.000,1174.000,
3148,1680.000,1181.000,
3152,1686.000,1197.000,
3156,1696.000,1196.000,
3160,1708.000,1181.000,
3164,1727.000,1201.000,
3168,1764.000,1225.000,
3172,1785.000,1234.000,
3176,1817.000,1243.000,
3180,1865.000,1273.000,
3184,1911.000,1305.000,
3188,1967.000,1332.000,
3192,2002.000,1350.000,
3196,2059.000,1386.000,
3200,2124.000,1426.000,
3204,2618.000,1811.000,
3208,2597.000,1797.000,
3212,2568.000,1768.000,
3216,2532.000,1768.000,
3220,2499.000,1756.000,
3224,2464.000,1740.000,
3228,2417.000,1704.000,
3232,2389.000,1689.000,
3236,2354.000,1673.000,
3240,2311.000,1652.000,
3244,2273.000,1610.000,
3248,2246.000,1601.000,
3252,2215.000,1585.000,
3256,2181.000,1565.000,
3260,2144.000,1527.000,
3264,2117.000,1507.000,
3268,2096.000,1498.000,
3272,2062.000,1478.000,
3276,2042.000,1457.000,
3280,2011.000,1434.000,
3284,1998.000,1437.000,
3288,1978.000,1423.000,
3292,1949.000,1398.000,
3296,1926.000,1375.000,
3300,1924.000,1377.000,
3304,1909.000,1370.000,
3308,1883.000,1352.000,
3312,1863.000,1334.000,
3316,1856.000,1333.000,
3320,1839.000,1325.000,
3324,1826.000,1303.000,
3328,1810.000,1289.000,
3332,1802.000,1292.000,
3336,1796.000,1287.000,
3340,1772.000,1269.000,
3344,1757.000,1252.000,
3348,1747.000,1260.000,
3352,1750.000,1254.000,
3356,1739.000,1250.000,
3360,1730.000,1225.000,
3364,1724.000,1225.000,
3368,1730.000,1239.000,
3372,1720.000,1228.000,
3376,1712.000,1210.000,
3380,1715.000,1207.000,
3384,1717.000,1223.000,
3388,1718.000,1216.000,
3392,1719.000,1212.000,
3396,1719.000,1205.000,
3400,1731.000,1228.000,
3404,1744.000,1231.000,
3408,1744.000,1224.000,
3412,1749.000,1222.000,
3416,1768.000,1240.000,
3420,1767.000,1248.000,
3424,1774.000,1240.000,
3428,1783.000,1244.000,
3432,1791.000,1253.000,
3436,1800.000,1265.000,
3440,1800.000,1259.000,
3444,1742.000,1234.000,
3448,1733.000,1229.000,
3452,1735.000,1238.000,
3456,1723.000,1235.000,
3460,1712.000,1217.000,
3464,1704.000,1208.000,
3468,1698.000,1212.000,
3472,1695.000,1216.000,
3476,1685.000,1194.000,
3480,1659.000,1185.000,
3484,1679.000,1191.000,
3488,1669.000,1197.000,
3492,1665.000,1183.000,
3496,1653.000,1179.000,
3500,1659.000,1183.000,
3504,1661.000,1187.000,
3508,1655.000,1175.000,
3512,1643.000,1169.000,
3516,1652.000,1165.000,
3520,1639.000,1175.000,
3524,1649.000,1173.000,
3528,1638.000,1159.000,
3532,1643.000,1169.000,
3536,1649.000,1171.000,
3540,1655.000,1165.000,
3544,1651.000,1164.000,
3548,1664.000,1171.000,
3552,1664.000,1178.000,
3556,1668.000,1181.000,
3560,1654.000,1169.000,
3564,1660.000,1165.000,
3568,1674.000,1180.000,
3572,1670.000,1188.000,
3576,1672.000,1171.000,
3580,1672.000,1179.000,
3584,1682.000,1192.000,
3588,1675.000,1191.000,
3592,1668.000,1173.000,
3596,1675.000,1174.000,
3600,1682.000,1187.000,
3604,1717.000,1206.000,
3608,1715.000,1214.000,
3612,1703.000,1200.000,
3616,1713.000,1205.000,
3620,1710.000,1220.000,
3624,1715.000,1216.000,
3628,1711.000,1201.000,
3632,1701.000,1198.000,
3636,1716.000,1220.000,
3640,1711.000,1216.000,
3644,1704.000,1208.000,
3648,1700.000,1196.000,
3652,1700.000,1210.000,
3656,1702.000,1211.000,
3660,1698.000,1205.000,
3664,1691.000,1191.000,
3668,1689.000,1186.000,
3672,1693.000,1204.000,
3676,1688.000,1188.000,
3680,1680.000,1188.000,
3684,1679.000,1189.000,
3688,1685.000,1201.000,
3692,1680.000,1190.000,
3696,1671.000,1183.000,
3700,1669.000,1182.000,
3704,1675.000,1194.000,
3708,1674.000,1185.000,
3712,1668.000,1180.000,
3716,1669.000,1180.000,
3720,1681.000,1191.000,
3724,1669.000,1192.000,
3728,1663.000,1171.000,
3732,1669.000,1182.000,
3736,1673.000,1179.000,
3740,1672.000,1195.000,
3744,1668.000,1179.000,
3748,1668.000,1181.000,
3752,1682.000,1195.000,
3756,1683.000,1196.000,
3760,1685.000,1183.000,
3764,1682.000,1186.000,
3768,1694.000,1195.000,
