Timestamp,Analog1_chA,Analog1_chB
3320,3297.000,2217.000,
3324,3303.000,2217.000,
3328,3295.000,2204.000,
3332,3301.000,2212.000,
3336,3296.000,2222.000,
3340,3293.000,2224.000,
3344,3300.000,2202.000,
3348,3299.000,2209.000,
3352,3304.000,2232.000,
3356,3304.000,2219.000,
3360,3305.000,2206.000,
3364,3308.000,2210.000,
3368,3316.000,2231.000,
3372,3316.000,2227.000,
3376,3320.000,2207.000,
3380,3320.000,2207.000,
3384,3309.000,2230.000,
3388,3324.000,2234.000,
3392,3316.000,2215.000,
3396,3322.000,2216.000,
3400,3312.000,2232.000,
3404,3313.000,2240.000,
3408,3327.000,2222.000,
3412,3322.000,2211.000,
3416,3332.000,2231.000,
3420,3319.000,2241.000,
3424,3316.000,2232.000,
3428,3316.000,2212.000,
3432,3313.000,2227.000,
3436,3320.000,2238.000,
3440,3325.000,2232.000,
3444,3272.000,2190.000,
3448,3269.000,2194.000,
3452,3272.000,2205.000,
3456,3265.000,2209.000,
3460,3276.000,2191.000,
3464,3276.000,2186.000,
3468,3276.000,2203.000,
3472,3275.000,2212.000,
3476,3282.000,2201.000,
3480,3288.000,2188.000,
3484,3278.000,2204.000,
3488,3277.000,2211.000,
3492,3285.000,2202.000,
3496,3287.000,2196.000,
3500,3290.000,2207.000,
3504,3292.000,2219.000,
3508,3289.000,2208.000,
3512,3293.000,2199.000,
3516,3300.000,2208.000,
3520,3302.000,2222.000,
3524,3303.000,2227.000,
3528,3310.000,2202.000,
3532,3306.000,2210.000,
3536,3312.000,2227.000,
3540,3301.000,2230.000,
3544,3307.000,2205.000,
3548,3312.000,2207.000,
3552,3299.000,2229.000,
3556,3307.000,2227.000,
3560,3310.000,2213.000,
3564,3304.000,2213.000,
3568,3309.000,2225.000,
3572,3302.000,2221.000,
3576,3312.000,2217.000,
3580,3295.000,2200.000,
3584,3308.000,2226.000,
3588,3311.000,2228.000,
3592,3301.000,2220.000,
3596,3300.000,2208.000,
3600,3301.000,2217.000,
3604,3300.000,2228.000,
3608,3304.000,2219.000,
3612,3301.000,2208.000,
3616,3300.000,2224.000,
3620,3297.000,2232.000,
3624,3295.000,2226.000,
3628,3298.000,2203.000,
3632,3291.000,2207.000,
3636,3289.000,2226.000,
3640,3283.000,2218.000,
3644,3297.000,2202.000,
3648,3290.000,2208.000,
3652,3288.000,2221.000,
3656,3289.000,2217.000,
3660,3288.000,2198.000,
3664,3290.000,2198.000,
3668,3291.000,2219.000,
3672,3295.000,2219.000,
3676,3289.000,2203.000,
3680,3290.000,2199.000,
3684,3295.000,2208.000,
3688,3289.000,2222.000,
3692,3294.000,2216.000,
3696,3295.000,2200.000,
3700,3294.000,2202.000,
3704,3290.000,2224.000,
3708,3300.000,2213.000,
3712,3297.000,2202.000,
3716,3290.000,2206.000,
3720,3302.000,2223.000,
3724,3295.000,2219.000,
3728,3296.000,2204.000,
3732,3299.000,2202.000,
3736,3294.000,2220.000,
3740,3308.000,2231.000,
3744,3314.000,2212.000,
3748,3319.000,2209.000,
3752,3311.000,2231.000,
3756,3323.000,2239.000,
3760,3346.000,2232.000,
3764,3359.000,2223.000,
3768,3369.000,2251.000,
3772,3384.000,2269.000,
3776,3396.000,2257.000,
3780,3416.000,2261.000,
3784,3440.000,2273.000,
3788,3444.000,2291.000,
3792,3459.000,2298.000,
3796,3477.000,2290.000,
3800,3482.000,2304.000,
3804,3492.000,2330.000,
3808,3494.000,2319.000,
3812,3503.000,2309.000,
3816,3512.000,2322.000,
3820,3506.000,2341.000,
3824,3505.000,2337.000,
3828,3503.000,2319.000,
3832,3501.000,2326.000,
3836,3504.000,2338.000,
3840,3507.000,2335.000,
